 , , ,Community Services- FOOD,, , , ,
,,,,,,,,
NAME,DETAILS:,NUMBER:,VOLUNTEER LEAD/DIRECTOR,EMAIL ADDRESS ,ADDRESS:,WEBSITE:,FUNCTION:,
Helpline,Provides food vouchers,509-529-3377,Celia Landa,,"1520 Kelly Place Suite 180
Walla Walla, WA 99362",https://www.helplineww.org/,Vouchers,
Pantry Shelf-CLOSED,Pantry (WW Community),‭509-301-8790, ,,"325 S 1st Ave Walla Walla, WA 99362",https://pantryshelfwallawalla.org/, ,
The Salvation Army,Provides support for food and addiction recovery,509-529-9470,Demetrio Villarreal,Demetrio.Villarreal@usw.salvationarmy.org,"825 W Alder St, Walla Walla, WA 99362",https://wallawalla.salvationarmy.org/, ,
Edens Pantry,Pantry (WWU Students),509-301-6951,Troy Fitzgerald,,"212 SW 4th St
College Place, WA 99324",http://www.wwuchurch.com/,Pantries,
BMAC Food Bank,Pantry (Community),(509) 529-4980,Trevor Sandjathe,,"921 W Cherry Street
Walla Walla, WA - 99362",https://www.bmacww.org, ,
Walla Walla Mobile Distribution,Pantry/Food Distribution,509-529-3561,Trevor Sandjathe,,"921W Cherry Street Walla Walla, WA 99362",https://www.bmacww.org, ,
Pioneer Methodist Church,Provides free meals for low income individuals (funnels through the Christian Aid Center),509-525-1870,Deedee Rachor,,"209 E Birch St, Walla Walla WA 99362",https://pioneerww.org/, ,
Christian Aid Center,Provides free meals for low income Individuals,509-525-7153,Jeanette Relgaldo,,"Walla Walla Rescue Mission
202 W Birch Street",https://www.christianaidcenter.org/, ,
City Church SDA Church,Provides free meals for persons in need,509-525-9540,Mike Barnett,,"2133 Howard St
Walla Walla, WA 99362-4517",https://www.wallawallacityadventist.org/, ,
First Congregational Church Walla Walla,Provides free meals for the open community (Currently funnels through the Christian Aid Center),509-525-6618,Judy Chacon,,"73 South Palouse Street
Walla Walla, WA 99362",https://www.firstchurchuccww.org/,Free Meals,
Good Neighbor Church,"Provides free meals for open community, Saturdays 12:30-1:15PM",509-301-9070,Mike Barnett,,"343 S 3rd Ave
Walla Walla, WA 99362-3036",https://www.goodneighboradventist.org/, ,
Meals on Wheels,Provides free meals for 60yo+ persons through the senior center,509-527-3775 (ext 1),Jane Kaminsky,,"720 Sprague St
Walla Walla, WA 99362",https://www.wallawallaseniorcenter.org/, ,
New Beginnings Chapel,Provides free meals for persons in need (currently funneling services through the Christian Aid Center),509-527-3385, ,,822 West Main Street Walla Walla WA,http://www.nbcww.us/soup-kitchen, ,
Youth Free Summer Meals,"Providing free meals for youth 18 or younger. Works with YMCA, Parks and Rec, and is functioned throught the schol district.",541-861-0318,Pam Milleson,,N/A,https://www.wwps.org, ,
Blue Mountain Action Council,Providing food assistance,509-529-4980,Trevor Sandjathe,,"921 W Cherry Street
Walla Walla, WA - 99362",https://www.bmacww.org, ,
Helpline,Providing referals to food assistance and several other items,509-529-3377,Celia Landa,,"1520 Kelly Place Suite 180
Walla Walla, WA 99362",https://www.helplineww.org/,Food Assistance,
Jonathan Wainwright VA Center,Providing food assistance through VA medical facility ,509-527-3450,Christopher R. Bjornberg,,77 Wainwright Dr. Walla Walla WA 99362,https://www.wallawalla.va.gov/index.asp, ,
Washington DSHS,Providing food assistance along with many other services,877-501-2233,N/A,,206 W Poplar St Walla Walla WA 99362,https://www.dshs.wa.gov, ,
WIC (Family Medical Center),Provides food assistance and assessments,509-525-0422,N/A,,1120 West Rose Street Walla Walla WA99362,https://www.fns.usda.gov/wic, ,
WIC ( WW County Health),Provides food assistance ,509-524-2680,N/A,,314 West Main Street Walla Walla WA 99362,https://www.co.walla-walla.wa.us/government/health_department/wic.php, ,
,,,,,,,,
,,,,,,,,
 , , ,Community Services- MENTAL HEALTH,,, , ,
,,,,,,,,
NAME,DETAILS:,NUMBER:,VOLUNTEER LEAD/DIRECTOR,,ADDRESS:,WEBSITE:,FUNCTION:,
Blue Mountain Health Cooperative,Free mental health care for individuals 13 and up,509-973-5788,Alayna Briton,,1103 S. 2ND AVE. STE. B,https://www.bluemountainhealthcooperative.org/, ,
Catholic Charities,"Provides counseling, group therapy, and peer support",509-525-0572,Pam Brown,,"408 W Poplar St, Walla Walla, WA 99362",https://www.cceasternwa.org/walla-walla, ,
Comprehensive Healthcare,Provides addiction and mental illness counseling,509-522-4000,N/A,,1520 Kelly Pl. Walla Walla WA 99362,Walla Walla Center – Comprehensive Healthcare (comphc.org), ,
Lifeways Counseling Services (OREGON),Provides mental health services,541-276-6207,N/A,,810 S. Main St. Milton-Freewater OR 97862,https://www.lifeways.org/milton-freewater-oregon, ,
Serenity Point Counseling Services,Provides counseling for those struggling with addiction,509-529-6036,N/A,,"410 South Wilbur Ave Walla Walla, WA 99362",http://serenitypointcounseling.com/, ,
Triple Point ,Provides a safe group with LGBTQYI to talk with peers (13-21yo),509-529-2130,N/A,,1612 Penny Lane Walla Walla WA 99362,https://www.childrenshomesociety.org/wallawalla/, ,
Walla Walla Alliance for Mentally III,Provides advocacy and info for those living with mental illness,509-529-6160,N/A,,714 Francis Ave Walla Walla WA99362,https://namiwallawalla.org/, ,
Walla Walla Crisis Response Team,Provides trauma mitigation and education in the aftermath of any sized scale critical incident,509-524-2999,N/A,,1520 Kelly PLl. Walla Walla WA 99362,https://www.co.walla-walla.wa.us/, ,
